Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,Chrome 111.0.5563.146,,,2023-03-29 14:26:27,2023-03-29 14:27:17,50.111s,PASSED
,,,,,,,
Test Cases/Account/Login successfully,Chrome 111.0.5563.146,,,2023-03-29 14:26:28,2023-03-29 14:26:40,12.537s,PASSED
"openBrowser("""")",Chrome 111.0.5563.146,,,2023-03-29 14:26:28,2023-03-29 14:26:32,3.485s,PASSED
"navigateToUrl(""https://cms.demo.katalon.com/my-account/"")",Chrome 111.0.5563.146,,,2023-03-29 14:26:32,2023-03-29 14:26:36,4.118s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__username""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:36,2023-03-29 14:26:36,0.510s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__username""), username)",Chrome 111.0.5563.146,,,2023-03-29 14:26:36,2023-03-29 14:26:37,0.502s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__password""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:37,2023-03-29 14:26:37,0.296s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__password""), password)",Chrome 111.0.5563.146,,,2023-03-29 14:26:37,2023-03-29 14:26:37,0.161s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__rememberme""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:37,2023-03-29 14:26:38,0.144s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/button_Log in""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:38,2023-03-29 14:26:40,2.675s,PASSED
"getText(findTestObject(""Object Repository/Page_My account  Katalon Shop/Page_My account  Katalon Shop/strong_KatalonLover""), STOP_ON_FAILURE)",Chrome 111.0.5563.146,,,2023-03-29 14:26:40,2023-03-29 14:26:40,0.135s,PASSED
"responseString = ""KatalonLover""",Chrome 111.0.5563.146,,,2023-03-29 14:26:40,2023-03-29 14:26:40,0.001s,PASSED
"expectedString = ""katalonlover""",Chrome 111.0.5563.146,,,2023-03-29 14:26:40,2023-03-29 14:26:40,0.002s,PASSED
if (responseString.toLowerCase() == expectedString),Chrome 111.0.5563.146,,,2023-03-29 14:26:40,2023-03-29 14:26:40,0.018s,PASSED
,,,,,,,
Test Cases/Account/Login fails,Chrome 111.0.5563.146,,,2023-03-29 14:26:40,2023-03-29 14:26:49,8.938s,PASSED
"openBrowser("""")",Chrome 111.0.5563.146,,,2023-03-29 14:26:41,2023-03-29 14:26:42,0.820s,PASSED
"navigateToUrl(""https://cms.demo.katalon.com/my-account/"")",Chrome 111.0.5563.146,,,2023-03-29 14:26:42,2023-03-29 14:26:46,4.195s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__username""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:46,2023-03-29 14:26:46,0.335s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__username""), username)",Chrome 111.0.5563.146,,,2023-03-29 14:26:46,2023-03-29 14:26:46,0.370s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__password""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:46,2023-03-29 14:26:47,0.259s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__password""), password)",Chrome 111.0.5563.146,,,2023-03-29 14:26:47,2023-03-29 14:26:47,0.135s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__rememberme""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:47,2023-03-29 14:26:47,0.113s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/button_Log in""))",Chrome 111.0.5563.146,,,2023-03-29 14:26:47,2023-03-29 14:26:49,2.201s,PASSED
"getText(findTestObject(""Object Repository/Page_My account  Katalon Shop/Page_My account  Katalon Shop/strong_KatalonLover""), STOP_ON_FAILURE)",Chrome 111.0.5563.146,,,2023-03-29 14:26:49,2023-03-29 14:26:49,0.138s,PASSED
"responseString = ""KatalonLover""",Chrome 111.0.5563.146,,,2023-03-29 14:26:49,2023-03-29 14:26:49,0.001s,PASSED
"expectedString = ""katalonlover""",Chrome 111.0.5563.146,,,2023-03-29 14:26:49,2023-03-29 14:26:49,0.001s,PASSED
if (responseString.toUpperCase() == expectedString),Chrome 111.0.5563.146,,,2023-03-29 14:26:49,2023-03-29 14:26:49,0.009s,PASSED
else,Chrome 111.0.5563.146,,,2023-03-29 14:26:49,2023-03-29 14:26:49,0.005s,PASSED
,,,,,,,
