Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Remove,Chrome 112.0.0.0,,,2023-04-08 16:14:29,2023-04-08 16:16:10,1m - 40.144s,FAILED
,,,,,,,
Test Cases/Order Process/Checkout 03,Chrome 112.0.0.0,,,2023-04-08 16:14:30,2023-04-08 16:15:13,42.612s,FAILED
Start listener action : enableSauceLabs,Chrome 112.0.0.0,,,2023-04-08 16:14:30,2023-04-08 16:14:30,0.024s,PASSED
"callTestCase(findTestCase(""Order Process/Check order 02""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-08 16:14:30,2023-04-08 16:15:13,42.091s,FAILED
Start listener action : autoUpdateJobStatus,Chrome 112.0.0.0,,,2023-04-08 16:15:13,2023-04-08 16:15:13,0.001s,PASSED
,,,,,,,
Test Cases/Order Process/remove items 04,Chrome 112.0.0.0,,,2023-04-08 16:15:13,2023-04-08 16:16:10,57.046s,FAILED
Start listener action : enableSauceLabs,Chrome 112.0.0.0,,,2023-04-08 16:15:13,2023-04-08 16:15:13,0.002s,PASSED
"callTestCase(findTestCase(""Account/Login successfully""), [:], STOP_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-08 16:15:13,2023-04-08 16:15:45,32.617s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/Page_Cart  Katalon Shop/a_Cart""))",Chrome 112.0.0.0,,,2023-04-08 16:15:45,2023-04-08 16:15:50,4.247s,PASSED
SamplePageTitle = getWindowTitle(),Chrome 112.0.0.0,,,2023-04-08 16:15:50,2023-04-08 16:15:50,0.009s,PASSED
"verifyMatch(SamplePageTitle, ""Cart – Katalon Shop"", false)",Chrome 112.0.0.0,,,2023-04-08 16:15:50,2023-04-08 16:15:50,0.002s,PASSED
delay(10),Chrome 112.0.0.0,,,2023-04-08 16:15:50,2023-04-08 16:16:00,10.022s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/a_""), 0, CONTINUE_ON_FAILURE)",Chrome 112.0.0.0,,,2023-04-08 16:16:00,2023-04-08 16:16:02,2.072s,FAILED
"click(findTestObject(""Object Repository/a_""))",Chrome 112.0.0.0,,,2023-04-08 16:16:02,2023-04-08 16:16:10,7.811s,FAILED
Start listener action : autoUpdateJobStatus,Chrome 112.0.0.0,,,2023-04-08 16:16:10,2023-04-08 16:16:10,0.001s,PASSED
